Year,Site,Taxonomy_Substrate_Functional_Group,mean_percent_cover
2005,LTER 1,Algal Turf,43.81333333333333
2005,LTER 1,Coral,42.72
2005,LTER 2,Algal Turf,33.44
2005,LTER 2,Coral,29.84
2005,LTER 3,Algal Turf,41.04
2005,LTER 3,Coral,29.973333333333333
2005,LTER 4,Algal Turf,44.24
2005,LTER 4,Coral,35.6
2005,LTER 5,Algal Turf,38.4
2005,LTER 5,Coral,40.10666666666667
2005,LTER 6,Algal Turf,13.44
2005,LTER 6,Coral,42.16
2006,LTER 1,Algal Turf,46.88
2006,LTER 1,Coral,31.04
2006,LTER 2,Algal Turf,31.52
2006,LTER 2,Coral,28.88
2006,LTER 3,Algal Turf,27.76
2006,LTER 3,Coral,36.72
2006,LTER 4,Algal Turf,57.76
2006,LTER 4,Coral,32.64
2006,LTER 5,Algal Turf,42.72
2006,LTER 5,Coral,27.92
2006,LTER 6,Algal Turf,35.86666666666667
2006,LTER 6,Coral,30.586666666666666
2007,LTER 1,Algal Turf,44.98
2007,LTER 1,Coral,37.88
2007,LTER 2,Algal Turf,57.8
2007,LTER 2,Coral,20.78
2007,LTER 3,Algal Turf,40.62
2007,LTER 3,Coral,29.96
2007,LTER 4,Algal Turf,48.24
2007,LTER 4,Coral,31.98
2007,LTER 5,Algal Turf,38.22
2007,LTER 5,Coral,39.62
2007,LTER 6,Algal Turf,41.28
2007,LTER 6,Coral,29.86
2008,LTER 1,Algal Turf,47.3
2008,LTER 1,Coral,31.32
2008,LTER 2,Algal Turf,53.58793969849246
2008,LTER 2,Coral,19.1356783919598
2008,LTER 3,Algal Turf,41.84
2008,LTER 3,Coral,22.1
2008,LTER 4,Algal Turf,44.03
2008,LTER 4,Coral,27.93
2008,LTER 5,Algal Turf,32.50251256281407
2008,LTER 5,Coral,36.42211055276382
2008,LTER 6,Algal Turf,43.12
2008,LTER 6,Coral,21.14
2009,LTER 1,Algal Turf,54.05
2009,LTER 1,Coral,18.06
2009,LTER 2,Algal Turf,58.46
2009,LTER 2,Coral,9.86
2009,LTER 3,Algal Turf,33.84
2009,LTER 3,Coral,12.28
2009,LTER 4,Algal Turf,50.89795918367347
2009,LTER 4,Coral,17.306122448979593
2009,LTER 5,Algal Turf,38.297435897435896
2009,LTER 5,Coral,29.723076923076924
2009,LTER 6,Algal Turf,48.24
2009,LTER 6,Coral,12.46
2010,LTER 1,Algal Turf,53.64824120603015
2010,LTER 1,Coral,18.77386934673367
2010,LTER 2,Algal Turf,63.86
2010,LTER 2,Coral,9.52
2010,LTER 3,Algal Turf,53.72
2010,LTER 3,Coral,15.28
2010,LTER 4,Algal Turf,55.437185929648244
2010,LTER 4,Coral,12.64321608040201
2010,LTER 5,Algal Turf,42.3
2010,LTER 5,Coral,26.9
2010,LTER 6,Algal Turf,45.68
2010,LTER 6,Coral,15.42
2011,LTER 1,Algal Turf,63.48
2011,LTER 1,Coral,13.98
2011,LTER 2,Algal Turf,69.24
2011,LTER 2,Coral,7.56
2011,LTER 3,Algal Turf,55.12
2011,LTER 3,Coral,15.48
2011,LTER 4,Algal Turf,52.38
2011,LTER 4,Coral,14.74
2011,LTER 5,Algal Turf,41.5
2011,LTER 5,Coral,25.42
2011,LTER 6,Algal Turf,46.06
2011,LTER 6,Coral,17.18
2012,LTER 1,Algal Turf,64.8
2012,LTER 1,Coral,9.48
2012,LTER 2,Algal Turf,68.1
2012,LTER 2,Coral,6.42
2012,LTER 3,Algal Turf,46.14
2012,LTER 3,Coral,16.62
2012,LTER 4,Algal Turf,55.34
2012,LTER 4,Coral,12.8
2012,LTER 5,Algal Turf,37.88
2012,LTER 5,Coral,25.36
2012,LTER 6,Algal Turf,41.86
2012,LTER 6,Coral,19.3
2013,LTER 1,Algal Turf,65.2
2013,LTER 1,Coral,8.64
2013,LTER 2,Algal Turf,63.14
2013,LTER 2,Coral,7.96
2013,LTER 3,Algal Turf,43.8
2013,LTER 3,Coral,13.12
2013,LTER 4,Algal Turf,56.14
2013,LTER 4,Coral,15.04
2013,LTER 5,Algal Turf,37.4
2013,LTER 5,Coral,27.78
2013,LTER 6,Algal Turf,45.8
2013,LTER 6,Coral,21.82
2014,LTER 1,Algal Turf,56.58291457286432
2014,LTER 1,Coral,12.28140703517588
2014,LTER 2,Algal Turf,58.82
2014,LTER 2,Coral,8.9
2014,LTER 3,Algal Turf,47.82
2014,LTER 3,Coral,12.74
2014,LTER 4,Algal Turf,46.9
2014,LTER 4,Coral,14.4
2014,LTER 5,Algal Turf,36.56
2014,LTER 5,Coral,27.36
2014,LTER 6,Algal Turf,45.04
2014,LTER 6,Coral,21.68
2015,LTER 1,Algal Turf,38.74
2015,LTER 1,Coral,17.88
2015,LTER 2,Algal Turf,42.16
2015,LTER 2,Coral,12.66
2015,LTER 3,Algal Turf,38.66
2015,LTER 3,Coral,11.14
2015,LTER 4,Algal Turf,40.26
2015,LTER 4,Coral,18.38
2015,LTER 5,Algal Turf,32.28
2015,LTER 5,Coral,30.04
2015,LTER 6,Algal Turf,44.36
2015,LTER 6,Coral,24.02
2016,LTER 1,Algal Turf,32.66
2016,LTER 1,Coral,21.76
2016,LTER 2,Algal Turf,48.96
2016,LTER 2,Coral,14.76
2016,LTER 3,Algal Turf,33.52
2016,LTER 3,Coral,14.12
2016,LTER 4,Algal Turf,37.62
2016,LTER 4,Coral,21.3
2016,LTER 5,Algal Turf,29
2016,LTER 5,Coral,34.26
2016,LTER 6,Algal Turf,35.42
2016,LTER 6,Coral,19.7
2017,LTER 1,Algal Turf,26.46
2017,LTER 1,Coral,26.2
2017,LTER 2,Algal Turf,29.32
2017,LTER 2,Coral,16.5
2017,LTER 3,Algal Turf,41.86
2017,LTER 3,Coral,12.36
2017,LTER 4,Algal Turf,30.48
2017,LTER 4,Coral,23.82
2017,LTER 5,Algal Turf,22.44
2017,LTER 5,Coral,37.62
2017,LTER 6,Algal Turf,31.56
2017,LTER 6,Coral,23.38
2018,LTER 1,Algal Turf,27.02
2018,LTER 1,Coral,30.34
2018,LTER 2,Algal Turf,27.74
2018,LTER 2,Coral,23.88
2018,LTER 3,Algal Turf,37.02
2018,LTER 3,Coral,13.18
2018,LTER 4,Algal Turf,34.56
2018,LTER 4,Coral,24.36
2018,LTER 5,Algal Turf,24.62
2018,LTER 5,Coral,41.84
2018,LTER 6,Algal Turf,34.08
2018,LTER 6,Coral,25.26
2019,LTER 1,Algal Turf,31.76
2019,LTER 1,Coral,31.8
2019,LTER 2,Algal Turf,39.3
2019,LTER 2,Coral,23.88
2019,LTER 3,Algal Turf,41.7
2019,LTER 3,Coral,15.32
2019,LTER 4,Algal Turf,35.68
2019,LTER 4,Coral,26.12
2019,LTER 5,Algal Turf,23.82
2019,LTER 5,Coral,43.04
2019,LTER 6,Algal Turf,36.28
2019,LTER 6,Coral,26.28
2020,LTER 1,Algal Turf,40.84
2020,LTER 1,Coral,15.22
2020,LTER 2,Algal Turf,44.47
2020,LTER 2,Coral,13.37
2020,LTER 3,Algal Turf,50.49
2020,LTER 3,Coral,14.41
2020,LTER 4,Algal Turf,45.82
2020,LTER 4,Coral,23.5
2020,LTER 5,Algal Turf,42.06
2020,LTER 5,Coral,34.19
2020,LTER 6,Algal Turf,56.25
2020,LTER 6,Coral,17.56
2021,LTER 1,Algal Turf,59.84
2021,LTER 1,Coral,4.44
2021,LTER 2,Algal Turf,54.2
2021,LTER 2,Coral,1.84
2021,LTER 3,Algal Turf,69
2021,LTER 3,Coral,11.36
2021,LTER 4,Algal Turf,41.32
2021,LTER 4,Coral,25.84
2021,LTER 5,Algal Turf,42.08
2021,LTER 5,Coral,46.36
2021,LTER 6,Algal Turf,63.96
2021,LTER 6,Coral,18.92
2022,LTER 1,Algal Turf,51.72
2022,LTER 1,Coral,12.18
2022,LTER 2,Algal Turf,53.38
2022,LTER 2,Coral,10.16
2022,LTER 3,Algal Turf,54.76
2022,LTER 3,Coral,14.68
2022,LTER 4,Algal Turf,53.14
2022,LTER 4,Coral,25.26
2022,LTER 5,Algal Turf,50.86
2022,LTER 5,Coral,31.62
2022,LTER 6,Algal Turf,62.06
2022,LTER 6,Coral,15.92
2023,LTER 1,Algal Turf,58.34
2023,LTER 1,Coral,9.6
2023,LTER 2,Algal Turf,63.7
2023,LTER 2,Coral,6.42
2023,LTER 3,Algal Turf,56.72
2023,LTER 3,Coral,13.92
2023,LTER 4,Algal Turf,54.6
2023,LTER 4,Coral,18.88
2023,LTER 5,Algal Turf,54.5
2023,LTER 5,Coral,22.74
2023,LTER 6,Algal Turf,59.62
2023,LTER 6,Coral,14.44
