site,transect,quadrat,Cover,Percent
Scripps,1,Low,bare_rock,25
Scripps,1,Low,algae,75
Scripps,1,Low,mussels,0
Scripps,1,Low,small_barnacles,2
Scripps,1,Low,large_barnacles,5
Scripps,1,Low,gooseneck_barnacles,0
Scripps,1,Low,anemone,3
Scripps,1,Mid,bare_rock,50
Scripps,1,Mid,algae,0
Scripps,1,Mid,mussels,5
Scripps,1,Mid,small_barnacles,50
Scripps,1,Mid,large_barnacles,5
Scripps,1,Mid,gooseneck_barnacles,0
Scripps,1,Mid,anemone,0
Scripps,1,High,bare_rock,20
Scripps,1,High,algae,50
Scripps,1,High,mussels,1
Scripps,1,High,small_barnacles,50
Scripps,1,High,large_barnacles,0
Scripps,1,High,gooseneck_barnacles,0
Scripps,1,High,anemone,0
Scripps,2,Low,bare_rock,10
Scripps,2,Low,algae,85
Scripps,2,Low,mussels,0
Scripps,2,Low,small_barnacles,0
Scripps,2,Low,large_barnacles,0
Scripps,2,Low,gooseneck_barnacles,5
Scripps,2,Low,anemone,0
Scripps,2,Mid,bare_rock,40
Scripps,2,Mid,algae,5
Scripps,2,Mid,mussels,10
Scripps,2,Mid,small_barnacles,40
Scripps,2,Mid,large_barnacles,1
Scripps,2,Mid,gooseneck_barnacles,5
Scripps,2,Mid,anemone,0
Scripps,2,High,bare_rock,40
Scripps,2,High,algae,5
Scripps,2,High,mussels,0
Scripps,2,High,small_barnacles,55
Scripps,2,High,large_barnacles,0
Scripps,2,High,gooseneck_barnacles,0
Scripps,2,High,anemone,0
Scripps,3,Low,bare_rock,0
Scripps,3,Low,algae,100
Scripps,3,Low,mussels,0
Scripps,3,Low,small_barnacles,0
Scripps,3,Low,large_barnacles,1
Scripps,3,Low,gooseneck_barnacles,0
Scripps,3,Low,anemone,0
Scripps,3,Mid,bare_rock,30
Scripps,3,Mid,algae,5
Scripps,3,Mid,mussels,10
Scripps,3,Mid,small_barnacles,40
Scripps,3,Mid,large_barnacles,0
Scripps,3,Mid,gooseneck_barnacles,30
Scripps,3,Mid,anemone,0
Scripps,3,High,bare_rock,60
Scripps,3,High,algae,4
Scripps,3,High,mussels,1
Scripps,3,High,small_barnacles,20
Scripps,3,High,large_barnacles,0
Scripps,3,High,gooseneck_barnacles,5
Scripps,3,High,anemone,0
Scripps,4,Low,bare_rock,0
Scripps,4,Low,algae,100
Scripps,4,Low,mussels,0
Scripps,4,Low,small_barnacles,0
Scripps,4,Low,large_barnacles,0
Scripps,4,Low,gooseneck_barnacles,0
Scripps,4,Low,anemone,0
Scripps,4,Mid,bare_rock,45
Scripps,4,Mid,algae,10
Scripps,4,Mid,mussels,3
Scripps,4,Mid,small_barnacles,25
Scripps,4,Mid,large_barnacles,15
Scripps,4,Mid,gooseneck_barnacles,0
Scripps,4,Mid,anemone,5
Scripps,4,High,bare_rock,70
Scripps,4,High,algae,0
Scripps,4,High,mussels,0
Scripps,4,High,small_barnacles,25
Scripps,4,High,large_barnacles,5
Scripps,4,High,gooseneck_barnacles,0
Scripps,4,High,anemone,0
Scripps,5,Low,bare_rock,5
Scripps,5,Low,algae,70
Scripps,5,Low,mussels,0
Scripps,5,Low,small_barnacles,20
Scripps,5,Low,large_barnacles,5
Scripps,5,Low,gooseneck_barnacles,0
Scripps,5,Low,anemone,0
Scripps,5,Mid,bare_rock,30
Scripps,5,Mid,algae,0
Scripps,5,Mid,mussels,5
Scripps,5,Mid,small_barnacles,60
Scripps,5,Mid,large_barnacles,0
Scripps,5,Mid,gooseneck_barnacles,0
Scripps,5,Mid,anemone,10
Scripps,5,High,bare_rock,15
Scripps,5,High,algae,0
Scripps,5,High,mussels,0
Scripps,5,High,small_barnacles,85
Scripps,5,High,large_barnacles,0
Scripps,5,High,gooseneck_barnacles,0
Scripps,5,High,anemone,0
Scripps,6,Low,bare_rock,5
Scripps,6,Low,algae,85
Scripps,6,Low,mussels,0
Scripps,6,Low,small_barnacles,5
Scripps,6,Low,large_barnacles,5
Scripps,6,Low,gooseneck_barnacles,0
Scripps,6,Low,anemone,0
Scripps,6,Mid,bare_rock,30
Scripps,6,Mid,algae,10
Scripps,6,Mid,mussels,2
Scripps,6,Mid,small_barnacles,50
Scripps,6,Mid,large_barnacles,0
Scripps,6,Mid,gooseneck_barnacles,0
Scripps,6,Mid,anemone,10
Scripps,6,High,bare_rock,85
Scripps,6,High,algae,0
Scripps,6,High,mussels,0
Scripps,6,High,small_barnacles,15
Scripps,6,High,large_barnacles,0
Scripps,6,High,gooseneck_barnacles,0
Scripps,6,High,anemone,0
Scripps,7,Low,bare_rock,20
Scripps,7,Low,algae,70
Scripps,7,Low,mussels,2
Scripps,7,Low,small_barnacles,3
Scripps,7,Low,large_barnacles,10
Scripps,7,Low,gooseneck_barnacles,0
Scripps,7,Low,anemone,0
Scripps,7,Mid,bare_rock,25
Scripps,7,Mid,algae,25
Scripps,7,Mid,mussels,0
Scripps,7,Mid,small_barnacles,60
Scripps,7,Mid,large_barnacles,2
Scripps,7,Mid,gooseneck_barnacles,10
Scripps,7,Mid,anemone,3
Scripps,7,High,bare_rock,20
Scripps,7,High,algae,0
Scripps,7,High,mussels,0
Scripps,7,High,small_barnacles,80
Scripps,7,High,large_barnacles,0
Scripps,7,High,gooseneck_barnacles,0
Scripps,7,High,anemone,0
Scripps,8,Low,bare_rock,5
Scripps,8,Low,algae,95
Scripps,8,Low,mussels,0
Scripps,8,Low,small_barnacles,0
Scripps,8,Low,large_barnacles,5
Scripps,8,Low,gooseneck_barnacles,0
Scripps,8,Low,anemone,0
Scripps,8,Mid,bare_rock,20
Scripps,8,Mid,algae,10
Scripps,8,Mid,mussels,5
Scripps,8,Mid,small_barnacles,60
Scripps,8,Mid,large_barnacles,0
Scripps,8,Mid,gooseneck_barnacles,10
Scripps,8,Mid,anemone,0
Scripps,8,High,bare_rock,30
Scripps,8,High,algae,0
Scripps,8,High,mussels,0
Scripps,8,High,small_barnacles,70
Scripps,8,High,large_barnacles,0
Scripps,8,High,gooseneck_barnacles,0
Scripps,8,High,anemone,0
Scripps,9,Low,bare_rock,10
Scripps,9,Low,algae,65
Scripps,9,Low,mussels,0
Scripps,9,Low,small_barnacles,3
Scripps,9,Low,large_barnacles,3
Scripps,9,Low,gooseneck_barnacles,0
Scripps,9,Low,anemone,25
Scripps,9,Mid,bare_rock,0
Scripps,9,Mid,algae,10
Scripps,9,Mid,mussels,3
Scripps,9,Mid,small_barnacles,80
Scripps,9,Mid,large_barnacles,0
Scripps,9,Mid,gooseneck_barnacles,5
Scripps,9,Mid,anemone,2
Scripps,9,High,bare_rock,15
Scripps,9,High,algae,25
Scripps,9,High,mussels,0
Scripps,9,High,small_barnacles,80
Scripps,9,High,large_barnacles,0
Scripps,9,High,gooseneck_barnacles,0
Scripps,9,High,anemone,0
Scripps,10,Low,bare_rock,30
Scripps,10,Low,algae,45
Scripps,10,Low,mussels,0
Scripps,10,Low,small_barnacles,10
Scripps,10,Low,large_barnacles,5
Scripps,10,Low,gooseneck_barnacles,0
Scripps,10,Low,anemone,10
Scripps,10,Mid,bare_rock,60
Scripps,10,Mid,algae,10
Scripps,10,Mid,mussels,0
Scripps,10,Mid,small_barnacles,30
Scripps,10,Mid,large_barnacles,0
Scripps,10,Mid,gooseneck_barnacles,1
Scripps,10,Mid,anemone,0
Scripps,10,High,bare_rock,5
Scripps,10,High,algae,0
Scripps,10,High,mussels,0
Scripps,10,High,small_barnacles,95
Scripps,10,High,large_barnacles,0
Scripps,10,High,gooseneck_barnacles,0
Scripps,10,High,anemone,0
Dana Point,1,Low,bare_rock,0
Dana Point,1,Low,algae,100
Dana Point,1,Low,mussels,0
Dana Point,1,Low,small_barnacles,0
Dana Point,1,Low,large_barnacles,0
Dana Point,1,Low,gooseneck_barnacles,0
Dana Point,1,Low,anemone,0
Dana Point,1,Mid,bare_rock,5
Dana Point,1,Mid,algae,50
Dana Point,1,Mid,mussels,10
Dana Point,1,Mid,small_barnacles,50
Dana Point,1,Mid,large_barnacles,30
Dana Point,1,Mid,gooseneck_barnacles,0
Dana Point,1,Mid,anemone,2
Dana Point,1,High,bare_rock,15
Dana Point,1,High,algae,25
Dana Point,1,High,mussels,5
Dana Point,1,High,small_barnacles,60
Dana Point,1,High,large_barnacles,5
Dana Point,1,High,gooseneck_barnacles,0
Dana Point,1,High,anemone,2
Dana Point,2,Low,bare_rock,2
Dana Point,2,Low,algae,95
Dana Point,2,Low,mussels,0
Dana Point,2,Low,small_barnacles,0
Dana Point,2,Low,large_barnacles,1
Dana Point,2,Low,gooseneck_barnacles,0
Dana Point,2,Low,anemone,3
Dana Point,2,Mid,bare_rock,5
Dana Point,2,Mid,algae,80
Dana Point,2,Mid,mussels,25
Dana Point,2,Mid,small_barnacles,15
Dana Point,2,Mid,large_barnacles,10
Dana Point,2,Mid,gooseneck_barnacles,2
Dana Point,2,Mid,anemone,3
Dana Point,2,High,bare_rock,2
Dana Point,2,High,algae,1
Dana Point,2,High,mussels,3
Dana Point,2,High,small_barnacles,95
Dana Point,2,High,large_barnacles,2
Dana Point,2,High,gooseneck_barnacles,0
Dana Point,2,High,anemone,0
Dana Point,3,Low,bare_rock,0
Dana Point,3,Low,algae,75
Dana Point,3,Low,mussels,0
Dana Point,3,Low,small_barnacles,0
Dana Point,3,Low,large_barnacles,5
Dana Point,3,Low,gooseneck_barnacles,0
Dana Point,3,Low,anemone,0
Dana Point,3,Mid,bare_rock,6
Dana Point,3,Mid,algae,25
Dana Point,3,Mid,mussels,25
Dana Point,3,Mid,small_barnacles,30
Dana Point,3,Mid,large_barnacles,15
Dana Point,3,Mid,gooseneck_barnacles,2
Dana Point,3,Mid,anemone,2
Dana Point,3,High,bare_rock,0
Dana Point,3,High,algae,10
Dana Point,3,High,mussels,10
Dana Point,3,High,small_barnacles,90
Dana Point,3,High,large_barnacles,15
Dana Point,3,High,gooseneck_barnacles,1
Dana Point,3,High,anemone,0
Dana Point,4,Low,bare_rock,0
Dana Point,4,Low,algae,95
Dana Point,4,Low,mussels,5
Dana Point,4,Low,small_barnacles,5
Dana Point,4,Low,large_barnacles,5
Dana Point,4,Low,gooseneck_barnacles,0
Dana Point,4,Low,anemone,0
Dana Point,4,Mid,bare_rock,0
Dana Point,4,Mid,algae,30
Dana Point,4,Mid,mussels,5
Dana Point,4,Mid,small_barnacles,60
Dana Point,4,Mid,large_barnacles,30
Dana Point,4,Mid,gooseneck_barnacles,0
Dana Point,4,Mid,anemone,0
Dana Point,4,High,bare_rock,15
Dana Point,4,High,algae,16
Dana Point,4,High,mussels,5
Dana Point,4,High,small_barnacles,60
Dana Point,4,High,large_barnacles,15
